variable,beta,mean,sd
one,0.44102011751222536,22.060406438094667,0.14549144879439047
two,-0.3916705164907489,24.725898268368717,0.15374113041548018
three,0.2684619471920259,19.620028774372855,0.12621561829813005
four,-1.2105940039742822,596.6062810864177,9.964754780978918
five,0.3292110133775198,66.40425915016282,1.8540062043464132
six,-0.1230526431297363,33.70114115112535,0.4785410953237264
seven,-1.5366020388945776,24.136945941100507,1.1584658695121601
eight,0.7854216138948511,188.57763542847235,5.216263506939139
nine,-0.14185459616900012,109.42128632956566,1.2165877564899208
ten,0.8756431632178492,174.69107107801716,4.29757223387436
eleven,-0.06031902264737897,109.955546228611,1.4013611658418874
twelve,-0.15160237000138105,9.591114243064027,0.09491279604837709
thirteen,0.2055329972711342,60.89103843503017,0.4113705873872522
fourteen,0.45028421350603626,207.49727867077573,1.6591206829381346
fifteen,2134.7358296921575,29.63126706036605,0.14943751837882674
sixteen,-2018.591189139924,13.876996555372111,0.14126204639944234
seventeen,-1694.2685585542447,15.754270487854965,0.11857722880071002
eighteen,-0.1246589402999094,22.490524765724526,0.19031209772380486
nineteen,0.047952749934370646,19.431615473186106,0.1232083600493644
twenty,0.06976023965960675,0.03391672019476842,0.6810469658248242
twentyone,0.12450905235389542,65.68796244237123,60.01319651864548
twentytwo,0.01661934993463755,-1.9541670899341224,1.238371798916246
twentythree,0.0456272438670921,47.790440532945794,18.968491351100493
twentyfour,-0.08977012562549899,13.9975025288056,8.19022324026158
twentyfive,-0.032174142699733996,0.5547491944900877,0.09605585932604094
twentysix,-0.14353158815329842,8.537648164290793,6.011540669907424
