step_id_,used_rsf,max_rsf,win
1000_1,1.641257269007657,2.088947865258973,0
1000_2,1.6429416711592002,1.92379890140617,0
1000_3,1.6461094682078865,1.6461094682078865,1
1000_4,1.6429480265233458,1.8588025419106784,0
1000_5,1.6488205931459943,1.6706579624541549,0
1001_1,1.637538927300587,1.6579084662581032,0
1001_2,1.8512385690033775,2.0617329622129374,0
1001_3,1.829021359545747,1.85198027329131,0
1001_4,1.627893988172611,1.8301296770202546,0
1001_5,1.351722922929364,1.7476094728959017,0
1001_6,1.0801742705142077,1.4224800856749058,0
1001_7,1.174517511327701,1.293679572844079,0
1003_1,0.9167894484243416,0.9167894484243416,1
1003_10,1.573339640410719,1.7456752630785803,0
1003_11,1.4480641222069295,1.6787243001358088,0
1003_12,1.689789658460603,1.933060547300749,0
1003_13,1.447024889751023,1.6917113328090234,0
1003_14,1.6138641921558563,1.6601757090311546,0
1003_15,1.360908533486307,1.640518317657015,0
1003_16,1.405658155353931,1.4855755903700838,0
1003_17,1.5145713187807361,1.6051255632334394,0
1003_18,1.5969718931962973,1.5969718931962973,1
1003_19,1.7181869085985744,1.7181869085985744,1
1003_2,0.9339349837828228,1.94051220314973,0
1003_20,1.3325948933049097,1.720145305500268,0
1003_21,1.354398560058718,1.648109660604746,0
1003_22,1.3288999197708813,1.8268222984154785,0
1003_23,1.3344275416930138,1.692180217970871,0
1003_24,1.323838902158003,1.6886782539377747,0
1003_25,1.322045396011431,1.6252187509749896,0
1003_26,1.3212329280836894,1.4840244940753187,0
1003_27,1.3248595442857838,1.766119269199325,0
1003_28,1.3232552084474067,1.3523153276898936,0
1003_29,1.3318584555479067,1.4353929337747315,0
1003_3,0.936128529756701,0.936128529756701,1
1003_30,1.0772222267472102,1.830004104412418,0
1003_31,1.4890602814408742,1.4890602814408742,1
1003_32,1.6303193906408004,1.6303193906408004,1
1003_33,1.6589328487190154,1.6589328487190154,1
1003_34,1.6484172764714378,1.683493124997829,0
1003_35,1.6082479821494946,1.6688680643172884,0
1003_4,0.9082508121803782,1.0853196252091473,0
1003_5,1.1155700755488562,1.2955948798219747,0
1003_6,1.021427167802174,1.1155712503844075,0
1003_7,1.5031226149389734,1.5031226149389734,1
1003_8,1.3931892707552402,1.7066579669123154,0
1003_9,1.4089854125316486,1.4811076421257228,0
1004_1,1.5683273959044652,1.6615908793696503,0
1004_10,1.1887138246244546,1.2991963491646061,0
1004_11,1.2432376608090236,1.404230107611579,0
1004_12,1.2284489313418068,1.2788275713058666,0
1004_13,1.2084968946712977,1.296823320383998,0
1004_14,1.2999493342786494,1.3223011927848383,0
1004_15,1.3587710411076523,1.3587710411076523,1
1004_16,1.379311005588093,1.379311005588093,1
1004_17,1.3378330833840542,1.3846644731793367,0
1004_18,1.2415276242164377,1.357096145553265,0
1004_19,1.2703438973872627,1.3593652452105223,0
1004_2,1.4682588354683952,1.6412273850999974,0
1004_20,1.2007826046408987,1.3433285941144888,0
1004_21,1.281910350533607,1.281910350533607,1
1004_22,1.3837057269162585,1.3837057269162585,1
1004_23,1.0921510094143088,1.3850254748291557,0
1004_24,1.1429914656183977,1.2999683758071916,0
1004_3,1.3136290020323065,1.5640912231081807,0
1004_4,1.314197519266753,1.5707880961996241,0
1004_5,1.296855758348814,1.3944337505736752,0
1004_6,1.2844880738968663,1.4427411162687345,0
1004_7,1.1035792066009877,1.303808319240878,0
1004_8,1.3576062654442425,1.3576062654442425,1
1004_9,1.1629260512439215,1.6936553036468995,0
1005_1,1.1498024718754987,1.359508918975391,0
1005_10,1.282787735920895,1.3427577205469097,0
1005_11,1.0704832158447768,1.4272509680201078,0
1005_12,1.3702991778074434,1.7115857832012646,0
1005_13,1.5829691723046773,1.5829691723046773,1
1005_14,1.3519025688465198,1.5987792513709764,0
1005_15,1.7145548019814592,1.7145548019814592,1
1005_16,1.744990054922604,1.744990054922604,1
1005_17,1.744990054922604,1.7552553140238283,0
1005_18,1.5873865335949637,1.7463423906148563,0
1005_19,1.6835090754377444,1.7504621784102692,0
1005_2,1.1661295687442101,1.248920702495855,0
1005_3,1.2538965652535383,1.3509061708820689,0
1005_4,1.4004066270790614,1.4004066270790614,1
