original,safe
one,one
two,two
three,three
four,four
five,five
six,six
seven,seven
eight,eight
nine,nine
ten,ten
eleven,eleven
twelve,twelve
thirteen,thirteen
fourteen,fourteen
fifteen,fifteen
sixteen,sixteen
seventeen,seventeen
eighteen,eighteen
nineteen,nineteen
twenty,twenty
twentyone,twentyone
twentytwo,twentytwo
twentythree,twentythree
twentyfour,twentyfour
twentyfive,twentyfive
twentysix,twentysix
