variable,beta,mean,sd
one,0.10263181719673471,21.990335019185753,0.15912269973936521
two,0.15335583843450445,24.6181144103038,0.1477643897933113
three,0.4470970956622015,19.632185343767212,0.16911159764056172
four,-1.8088229384667105,609.1750194674809,11.637250614421657
five,0.08104928380237712,68.09080113969713,2.3353835093848785
six,-0.04237536587549261,34.486884960002904,0.5134552648946835
seven,-1.2912897629676852,24.44436126877241,1.614076444842878
eight,1.7984702903997534,192.81715094243347,6.623363271334717
nine,-0.3061016769421208,111.18629144517352,1.3802695749080731
ten,1.4610481533316606,179.27763873491946,5.705176284914232
eleven,0.25482035817716614,112.26171183525177,0.9410157882784571
twelve,-0.005584208024206656,9.440280034384417,0.14458801659137122
thirteen,-0.3552204263483427,61.04905463495563,0.4144149741286087
fourteen,-0.3673987976895127,203.08201792928776,1.5233138681455674
fifteen,-1251.0414163794248,29.43334293749085,0.10162243872555363
sixteen,2405.017728074595,13.970203834082724,0.195470851110635
seventeen,1828.0567851687,15.46313931473219,0.14853346183575766
eighteen,0.22974996109008505,22.33903339020838,0.20032544650706754
nineteen,0.2324535025685411,19.511828538009805,0.17582559879666151
twenty,0.06180843210831994,-0.19170796360511994,0.6608376369269574
twentyone,-0.04329578617336249,92.04719855681485,65.57846812218808
twentytwo,0.039727987424566,-2.230955878541971,1.4625160259657126
twentythree,0.13493277060475634,48.70104261261933,18.055954613035418
twentyfour,-0.023033550632440614,15.105377962929401,8.663603262277752
twentyfive,0.061732037958672124,0.5801799411123046,0.07986210281337579
twentysix,-0.127609638635635,9.884876851692471,4.994179000005137
