elephant,run,metric,SSF,H2O,SSDM
E3,A,mean,0.317345999853512,0.5315198163961316,0.4048690859748271
E3,A,sd,0.1706833383374053,0.28181411132327,0.2094863284962865
E3,A,cv,0.5378461927307957,0.5302043350026954,0.5174174448870961
