variable,beta,mean,sd
one,0.2110017319974134,22.099826979004032,0.11779376486710676
two,-3.7971377404983713,24.764261677203113,0.11959898732315634
three,-0.2556082704908469,19.652023484241493,0.12076976124091722
four,-3.1647056986415776,591.426164727138,3.635552994200476
five,0.7369538652959625,65.57303699370449,0.688116272575655
six,-0.23655045958303578,33.92106248856603,0.27213968373283237
seven,-1.919199250188472,23.369585113245066,0.7345192961443793
eight,2.995690530233433,185.5130306289182,2.335457343102434
nine,0.466342382286916,109.97323494628803,1.049283513077802
ten,0.7515998817175877,172.21566963147035,1.6622991578247437
eleven,0.6506510372597242,111.10332275831283,1.1512768762610097
twelve,1.481704636841489,9.632500467187214,0.09313746341425339
thirteen,-0.9384853230820144,60.83966063859967,0.22860692229536697
fourteen,1.3317974641177432,207.15654283720247,1.1687988695514107
fifteen,2014.5242459907117,29.675603121915465,0.060945492694160754
sixteen,-5081.009163251202,13.842613657314205,0.15377011197636656
seventeen,-4027.6689081637564,15.832989029092191,0.12185393971453604
eighteen,1.3872181571341213,22.542128382064405,0.14680693542334902
nineteen,1.1994351646506791,19.519321791651972,0.11490388822084309
twenty,0.0973311926274595,0.18677934118204734,0.6553092999087261
twentyone,0.2713310790623349,43.75286253953443,42.77146134621385
twentytwo,0.13863222003490733,-1.666644015049957,1.7858549426893258
twentythree,0.16273723281590302,32.78172781168527,19.114922070858242
twentyfour,-0.13799026592782387,18.489780006399222,10.198059357263144
twentyfive,-0.3614763115008757,0.49442933456948324,0.09627091552218194
twentysix,-0.18141383062654276,6.5059283681729,4.838893890841573
