elephant,run,pair,pearson,spearman,rmse,mae
E5,A,H2O~SSDM,0.939153600902767,0.9026747325872253,0.16204213282463956,0.11443514307976695
E5,A,SSF~H2O,0.38364911978006633,0.7813546600484663,0.4471761545535575,0.320545586421596
E5,A,SSF~SSDM,0.39440166514061203,0.8240870581723698,0.3133049877857799,0.2342661967539224
E5,A,SSF~SDMmean,0.393761841923149,0.801375813659496,0.37749019998377165,0.2774052146733611
