species,lon,lat
E4A,26.59288,-33.58473
E4A,26.58184,-33.58884
E4A,26.57573,-33.62977
E4A,26.59265,-33.58618
E4A,26.5054,-33.57917
E4A,26.51166,-33.63226
E4A,26.55102,-33.60708
E4A,26.49603,-33.61809
E4A,26.49464,-33.58354
E4A,26.5206,-33.62112
E4A,26.5047,-33.6152
E4A,26.49515,-33.57194
E4A,26.53982,-33.56123
E4A,26.49809,-33.62399
E4A,26.52538,-33.5764
E4A,26.51017,-33.61096
E4A,26.50483,-33.57693
E4A,26.50969,-33.58587
E4A,26.54618,-33.57804
E4A,26.51796,-33.57542
E4A,26.53012,-33.58777
E4A,26.51743,-33.58942
E4A,26.53101,-33.58784
E4A,26.51764,-33.57567
E4A,26.52166,-33.63243
E4A,26.55522,-33.64291
E4A,26.49499,-33.63428
E4A,26.50059,-33.59088
E4A,26.51577,-33.61663
E4A,26.53608,-33.59998
E4A,26.56215,-33.6008
E4A,26.52579,-33.58823
E4A,26.51708,-33.57842
E4A,26.55352,-33.58873
E4A,26.50622,-33.59866
E4A,26.53065,-33.64431
E4A,26.50803,-33.63523
E4A,26.51819,-33.61111
E4A,26.50513,-33.57999
E4A,26.54653,-33.62915
E4A,26.52297,-33.61051
E4A,26.51815,-33.57923
E4A,26.54488,-33.61221
E4A,26.52179,-33.61206
E4A,26.60462,-33.60821
E4A,26.52834,-33.60981
E4A,26.52885,-33.59396
E4A,26.51474,-33.635
E4A,26.50402,-33.5712
E4A,26.54583,-33.62926
E4A,26.5202,-33.58121
E4A,26.51965,-33.58186
E4A,26.49857,-33.59246
E4A,26.4989,-33.60936
E4A,26.51995,-33.62824
E4A,26.53589,-33.56891
E4A,26.50764,-33.56567
E4A,26.52685,-33.57528
E4A,26.60457,-33.60819
E4A,26.52351,-33.63947
E4A,26.57448,-33.6055
E4A,26.57621,-33.60395
E4A,26.51164,-33.61375
E4A,26.57011,-33.62136
E4A,26.54605,-33.57821
E4A,26.60335,-33.59612
E4A,26.50507,-33.56797
E4A,26.49427,-33.62807
E4A,26.59897,-33.61534
E4A,26.49876,-33.58519
E4A,26.51671,-33.60021
E4A,26.55822,-33.60308
E4A,26.52237,-33.59158
E4A,26.52272,-33.58162
E4A,26.52311,-33.58533
E4A,26.57463,-33.60178
E4A,26.54551,-33.61112
E4A,26.51163,-33.59478
E4A,26.54468,-33.62981
E4A,26.49755,-33.57388
E4A,26.51609,-33.57678
E4A,26.5211,-33.58433
E4A,26.49464,-33.58383
E4A,26.53101,-33.60112
E4A,26.50962,-33.62202
E4A,26.5111,-33.59647
E4A,26.526,-33.58917
E4A,26.51526,-33.63748
E4A,26.51686,-33.62394
E4A,26.55688,-33.5902
E4A,26.53855,-33.59366
E4A,26.52353,-33.61212
E4A,26.53511,-33.60143
E4A,26.60804,-33.60518
E4A,26.51865,-33.62152
E4A,26.52005,-33.59202
E4A,26.56793,-33.58356
E4A,26.50865,-33.59527
E4A,26.50707,-33.60577
E4A,26.49484,-33.62907
E4A,26.51444,-33.63289
E4A,26.53955,-33.64477
E4A,26.53276,-33.58386
E4A,26.60801,-33.61013
E4A,26.54722,-33.58001
E4A,26.52325,-33.63418
E4A,26.57165,-33.5979
E4A,26.57335,-33.60142
E4A,26.51388,-33.61872
E4A,26.52953,-33.62588
E4A,26.51905,-33.6351
E4A,26.51607,-33.60757
E4A,26.53401,-33.56735
E4A,26.5085,-33.57962
E4A,26.51822,-33.59368
E4A,26.51461,-33.63395
E4A,26.51996,-33.60889
E4A,26.50658,-33.641
E4A,26.50841,-33.59007
E4A,26.52196,-33.62888
E4A,26.51555,-33.6051
E4A,26.53185,-33.59313
E4A,26.50993,-33.62973
E4A,26.55212,-33.64095
E4A,26.51107,-33.6259
E4A,26.52284,-33.63947
E4A,26.53996,-33.6389
E4A,26.51759,-33.5752
E4A,26.55435,-33.62389
E4A,26.53518,-33.61275
E4A,26.4934,-33.61669
E4A,26.51584,-33.62712
E4A,26.51388,-33.58534
E4A,26.52304,-33.62385
E4A,26.52561,-33.60169
E4A,26.50993,-33.63164
E4A,26.52388,-33.6363
E4A,26.537960000000002,-33.57734
E4A,26.5125,-33.60428
E4A,26.53533,-33.59555
E4A,26.5124,-33.59721
E4A,26.49732,-33.57343
E4A,26.54385,-33.59393
E4A,26.51224,-33.57812
E4A,26.52301,-33.57245
E4A,26.57504,-33.60381
E4A,26.52449,-33.61169
E4A,26.50186,-33.58615
E4A,26.52201,-33.6268
E4A,26.50516,-33.56602
E4A,26.53831,-33.62978
E4A,26.51014,-33.63946
E4A,26.52262,-33.62883
E4A,26.51122,-33.61836
E4A,26.50688,-33.62276
E4A,26.53566,-33.57564
E4A,26.53671,-33.59946
E4A,26.5197,-33.63285
E4A,26.5286,-33.6108
E4A,26.51413,-33.59129
E4A,26.51525,-33.62747
E4A,26.51095,-33.56282
E4A,26.51537,-33.58861
E4A,26.54849,-33.62112
E4A,26.5414,-33.63053
E4A,26.53871,-33.63467
E4A,26.52543,-33.63009
E4A,26.50711,-33.57013
E4A,26.50899,-33.6033
E4A,26.50256,-33.57039
E4A,26.52665,-33.60782
E4A,26.50713,-33.59843
E4A,26.5164,-33.63315
E4A,26.5139,-33.6136
E4A,26.51022,-33.60065
E4A,26.52265,-33.61012
E4A,26.54669,-33.62982
E4A,26.51681,-33.61646
E4A,26.52239,-33.61314
E4A,26.50753,-33.60239
E4A,26.52492,-33.57934
E4A,26.51409,-33.62742
E4A,26.50565,-33.63663
E4A,26.51261,-33.58478
E4A,26.49706,-33.62901
E4A,26.51041,-33.58893
E4A,26.51274,-33.61392
E4A,26.49685,-33.62621
E4A,26.51204,-33.61602
E4A,26.52938,-33.58476
E4A,26.53365,-33.60376
E4A,26.551,-33.59907
E4A,26.56037,-33.58555
E4A,26.51741,-33.61284
E4A,26.5148,-33.63756
E4A,26.51644,-33.62739
E4A,26.54714,-33.59521
E4A,26.55975,-33.59975
E4A,26.53542,-33.63352
E4A,26.51395,-33.593
E4A,26.51731,-33.63429
E4A,26.51009,-33.63587
E4A,26.4913,-33.63771
E4A,26.51398,-33.60035
E4A,26.50138,-33.58548
E4A,26.54984,-33.58328
E4A,26.5238,-33.63374
E4A,26.4997,-33.59153
E4A,26.53579,-33.58863
E4A,26.53309,-33.60902
E4A,26.50373,-33.61912
E4A,26.52684,-33.63419
E4A,26.50875,-33.6163
E4A,26.51754,-33.60816
E4A,26.5106,-33.60415
E4A,26.53925,-33.63142
E4A,26.51912,-33.63308
E4A,26.49374,-33.623
E4A,26.51489,-33.61549
E4A,26.51737,-33.59292
E4A,26.52135,-33.63672
E4A,26.52206,-33.61339
E4A,26.53931,-33.59155
E4A,26.49893,-33.60954
E4A,26.50903,-33.60728
E4A,26.52324,-33.61083
E4A,26.51165,-33.60222
E4A,26.55003,-33.59447
E4A,26.52959,-33.589
E4A,26.49712,-33.60249
E4A,26.49774,-33.57794
E4A,26.51683,-33.57425
E4A,26.51583,-33.63446
E4A,26.55984,-33.59796
E4A,26.51583,-33.61701
E4A,26.51256,-33.6291
E4A,26.51721,-33.63124
E4A,26.51582,-33.58173
E4A,26.49854,-33.61598
E4A,26.53078,-33.60169
E4A,26.52308,-33.63867
E4A,26.53814,-33.63664
E4A,26.49709,-33.60243
E4A,26.51866,-33.59587
E4A,26.52738,-33.63563
E4A,26.52557,-33.57586
E4A,26.51755,-33.60504
E4A,26.52602,-33.60675
E4A,26.59331,-33.60082
E4A,26.51061,-33.57431
E4A,26.52267,-33.61145
E4A,26.52802,-33.64063
E4A,26.50379,-33.57475
E4A,26.52821,-33.59496
E4A,26.577,-33.5674
E4A,26.50761,-33.5739
E4A,26.57074,-33.62098
E4A,26.52514,-33.58535
E4A,26.52007,-33.57995
E4A,26.50913,-33.59297
E4A,26.53604,-33.60869
E4A,26.50281,-33.57668
E4A,26.5433,-33.61177
E4A,26.51881,-33.60846
E4A,26.50329,-33.61115
E4A,26.52449,-33.59542
E4A,26.52927,-33.64288
E4A,26.53128,-33.6084
E4A,26.53213,-33.63574
E4A,26.50858,-33.5699
E4A,26.53747,-33.62712
E4A,26.58269,-33.60902
E4A,26.49711,-33.62544
E4A,26.52299,-33.58267
E4A,26.51969,-33.59066
E4A,26.50659,-33.59947
E4A,26.52378,-33.61306
E4A,26.563,-33.60134
E4A,26.51873,-33.60666
E4A,26.52052,-33.58114
E4A,26.55759,-33.59861
E4A,26.50393,-33.57082
