species,lon,lat
E4B,26.55319,-33.60549
E4B,26.59904,-33.61403
E4B,26.58823,-33.60725
E4B,26.56177,-33.6299
E4B,26.57394,-33.61334
E4B,26.59989,-33.60992
E4B,26.5588,-33.62237
E4B,26.60368,-33.60778
E4B,26.59234,-33.61371
E4B,26.59482,-33.59946
E4B,26.58833,-33.57813
E4B,26.593139999999998,-33.59657
E4B,26.55475,-33.63025
E4B,26.60822,-33.61375
E4B,26.57731,-33.62687
E4B,26.57388,-33.62218
E4B,26.60804,-33.60442
E4B,26.6032,-33.60967
E4B,26.57634,-33.5974
E4B,26.56011,-33.62556
E4B,26.55965,-33.62472
E4B,26.54604,-33.61934
E4B,26.55545,-33.61907
E4B,26.60711,-33.61573
E4B,26.55601,-33.63029
E4B,26.56338,-33.63162
E4B,26.54785,-33.61552
E4B,26.58259,-33.58392
E4B,26.56716,-33.6391
E4B,26.58455,-33.6103
E4B,26.5594,-33.63146
E4B,26.58189,-33.61107
E4B,26.55701,-33.62992
E4B,26.56711,-33.62715
E4B,26.58437,-33.59901
E4B,26.54747,-33.61626
E4B,26.56371,-33.63659
E4B,26.57858,-33.58356
E4B,26.58963,-33.60391
E4B,26.56551,-33.6342
E4B,26.59808,-33.60808
E4B,26.55979,-33.62127
E4B,26.55536,-33.61635
E4B,26.60163,-33.62024
E4B,26.58127,-33.58858
E4B,26.56881,-33.63416
E4B,26.60456,-33.60031
E4B,26.56296,-33.58247
E4B,26.56102,-33.63099
E4B,26.58633,-33.60825
E4B,26.56515,-33.63052
E4B,26.56699,-33.63736
E4B,26.59124,-33.61608
E4B,26.58893,-33.59183
E4B,26.57934,-33.60912
E4B,26.55934,-33.62015
E4B,26.55585,-33.61797
E4B,26.60736,-33.60642
E4B,26.56009,-33.62668
E4B,26.59306,-33.60615
E4B,26.57845,-33.61692
E4B,26.6075,-33.60551
E4B,26.58891,-33.60262
E4B,26.59249,-33.61005
E4B,26.56371,-33.63571
E4B,26.57824,-33.60834
E4B,26.58886,-33.60138
E4B,26.57317,-33.60861
E4B,26.56989,-33.60967
E4B,26.58353,-33.58394
E4B,26.56787,-33.61407
E4B,26.56689,-33.63818
E4B,26.55247,-33.61461
E4B,26.56616,-33.6148
E4B,26.58801,-33.59164
E4B,26.5581,-33.62082
E4B,26.54351,-33.61711
E4B,26.60515,-33.61522
E4B,26.59396,-33.59615
E4B,26.55773,-33.61701
E4B,26.5957,-33.60219
E4B,26.60701,-33.61189
E4B,26.57029,-33.62998
E4B,26.56391,-33.63125
E4B,26.59498,-33.60565
E4B,26.55636,-33.62732
E4B,26.54369,-33.61709
E4B,26.56575,-33.63321
E4B,26.55906,-33.62647
E4B,26.59109,-33.61175
E4B,26.58256,-33.61709
E4B,26.56538,-33.62811
E4B,26.5599,-33.62075
E4B,26.56153,-33.62675
E4B,26.56967,-33.63004
E4B,26.57663,-33.58149
E4B,26.58096,-33.59822
E4B,26.57745,-33.56835
E4B,26.60104,-33.60402
E4B,26.56221,-33.63113
E4B,26.57855,-33.61323
E4B,26.56295,-33.63217
E4B,26.59791,-33.60817
E4B,26.57469,-33.61224
E4B,26.57705,-33.62859
E4B,26.59629,-33.59502
E4B,26.60689,-33.61201
E4B,26.58413,-33.59349
E4B,26.60362,-33.604
E4B,26.55281,-33.61826
E4B,26.55419,-33.63368
E4B,26.56865,-33.60583
E4B,26.57357,-33.6281
E4B,26.59527,-33.59166
E4B,26.56458,-33.61729
E4B,26.57813,-33.61471
E4B,26.59167,-33.59587
E4B,26.58596,-33.6049
E4B,26.59657,-33.61829
E4B,26.58051,-33.58707
E4B,26.56204,-33.63109
E4B,26.55352,-33.63381
E4B,26.57806,-33.61366
E4B,26.58494,-33.62455
E4B,26.57735,-33.56838
E4B,26.5656,-33.62008
E4B,26.60646,-33.61667
E4B,26.57718,-33.59179
E4B,26.59058,-33.58981
E4B,26.57455,-33.62948
E4B,26.59756,-33.60797
E4B,26.59072,-33.59983
E4B,26.55552,-33.62278
E4B,26.59275,-33.59894
E4B,26.55931,-33.62921
E4B,26.6046,-33.61489
E4B,26.56293,-33.58175
E4B,26.55957,-33.62413
E4B,26.57829,-33.60483
E4B,26.56766,-33.63471
E4B,26.56337,-33.62736
E4B,26.58267,-33.60357
E4B,26.58762,-33.60981
E4B,26.56383,-33.62176
E4B,26.55898,-33.61582
E4B,26.58718,-33.5929
E4B,26.59488,-33.61306
E4B,26.56929,-33.61823
E4B,26.59818,-33.60287
E4B,26.56123,-33.62665
E4B,26.55144,-33.6194
E4B,26.5805,-33.61206
E4B,26.6037,-33.61735
E4B,26.57859,-33.62849
E4B,26.59491,-33.57324
E4B,26.56862,-33.59388
E4B,26.56391,-33.63423
E4B,26.581,-33.58011
E4B,26.55678,-33.6232
E4B,26.60468,-33.59972
E4B,26.57297,-33.60489
E4B,26.55507,-33.6159
E4B,26.59098,-33.60109
E4B,26.55564,-33.61681
E4B,26.56476,-33.58051
E4B,26.58011,-33.59954
E4B,26.60076,-33.61481
E4B,26.59946,-33.60397
E4B,26.6029,-33.60856
E4B,26.58255,-33.6078
E4B,26.59521,-33.5937
E4B,26.56048,-33.62054
E4B,26.58215,-33.62085
E4B,26.60811,-33.61662
E4B,26.56047,-33.6289
E4B,26.58727,-33.59876
E4B,26.56585,-33.61945
E4B,26.58242,-33.62594
E4B,26.55738,-33.61471
E4B,26.56122,-33.63378
E4B,26.55693,-33.62952
E4B,26.55144,-33.63347
E4B,26.57112,-33.57841
E4B,26.56515,-33.63373
E4B,26.59544,-33.61001
E4B,26.55588,-33.63168
E4B,26.58832,-33.56979
E4B,26.60802,-33.60487
E4B,26.59105,-33.59471
E4B,26.56715,-33.62613
E4B,26.57961,-33.60076
E4B,26.56012,-33.62759
E4B,26.55482,-33.62074
E4B,26.59746,-33.61625
E4B,26.59057,-33.59468
E4B,26.57918,-33.58078
E4B,26.5943,-33.59365
E4B,26.56068,-33.63043
E4B,26.56655,-33.59052
E4B,26.59879,-33.59986
E4B,26.56179,-33.63277
E4B,26.60251,-33.6195
E4B,26.60791,-33.60115
E4B,26.55196,-33.61691
E4B,26.56788,-33.63798
E4B,26.59464,-33.57301
E4B,26.59678,-33.59698
E4B,26.59478,-33.61275
E4B,26.55102,-33.61937
E4B,26.56087,-33.62354
E4B,26.58873,-33.60707
E4B,26.55845,-33.63261
E4B,26.58974,-33.61502
E4B,26.59882,-33.60898
E4B,26.59159,-33.60018
E4B,26.58715,-33.60861
E4B,26.5706,-33.63191
E4B,26.59564,-33.60632
E4B,26.59663,-33.61825
E4B,26.57151,-33.60949
E4B,26.55392,-33.61899
E4B,26.56136,-33.62495
E4B,26.60812,-33.60975
E4B,26.59645,-33.59498
E4B,26.59512,-33.61008
E4B,26.56383,-33.63195
E4B,26.56087,-33.62813
E4B,26.56138,-33.62933
E4B,26.57867,-33.62471
E4B,26.55726,-33.62562
E4B,26.5963,-33.59832
E4B,26.57275,-33.62759
E4B,26.56304,-33.63527
E4B,26.6008,-33.59402
E4B,26.59606,-33.61576
E4B,26.5589,-33.61821
E4B,26.59401,-33.60721
E4B,26.5496,-33.61914
E4B,26.55636,-33.61909
E4B,26.60477,-33.59958
E4B,26.57642,-33.6249
E4B,26.55856,-33.62267
E4B,26.59277,-33.59874
E4B,26.56637,-33.63853
E4B,26.55764,-33.63169
E4B,26.56862,-33.63314
E4B,26.59811,-33.6176
E4B,26.60695,-33.60846
E4B,26.56499,-33.62361
E4B,26.55605,-33.62352
E4B,26.58383,-33.59365
E4B,26.57881,-33.59158
E4B,26.55927,-33.62828
E4B,26.58378,-33.57738
E4B,26.57404,-33.61636
E4B,26.60781,-33.61507
E4B,26.54354,-33.6174
E4B,26.5651,-33.63777
E4B,26.59791,-33.6131
E4B,26.57509,-33.60471
E4B,26.55173,-33.63316
E4B,26.58925,-33.606
E4B,26.60518,-33.60748
E4B,26.56342,-33.62973
E4B,26.56362,-33.58007
E4B,26.55502,-33.62012
E4B,26.60874,-33.61431
E4B,26.58015,-33.6082
E4B,26.60253,-33.61028
E4B,26.59916,-33.61609
E4B,26.56584,-33.636
E4B,26.58483,-33.59475
E4B,26.55166,-33.61776
E4B,26.57683,-33.58612
E4B,26.56124,-33.62571
E4B,26.55363,-33.63443
E4B,26.55036,-33.61646
E4B,26.59635,-33.61537
E4B,26.57606,-33.56808
E4B,26.59195,-33.61233
E4B,26.56002,-33.62042
E4B,26.55963,-33.61383
E4B,26.58178,-33.61269
E4B,26.57363,-33.57742
E4B,26.59765,-33.61308
E4B,26.56603,-33.61537
E4B,26.59136,-33.58992
E4B,26.56897,-33.61598
E4B,26.56965,-33.59172
E4B,26.55859,-33.61277
E4B,26.58018,-33.61572
E4B,26.59496,-33.60947
E4B,26.55673,-33.63268
E4B,26.599,-33.6091
E4B,26.55726,-33.62063
E4B,26.56474,-33.63052
E4B,26.59682,-33.60331
E4B,26.59524,-33.60047
E4B,26.57989,-33.61108
E4B,26.56907,-33.61696
E4B,26.58695,-33.57149
E4B,26.59249,-33.60487
E4B,26.55118,-33.61755
E4B,26.55969,-33.61977
E4B,26.58278,-33.62027
E4B,26.55469,-33.63298
E4B,26.56969,-33.61601
E4B,26.60795,-33.6135
E4B,26.58205,-33.61965
E4B,26.5727,-33.62763
E4B,26.57587,-33.60448
E4B,26.56175,-33.61685
E4B,26.58401,-33.57561
E4B,26.6046,-33.60904
E4B,26.5895,-33.58207
E4B,26.58163,-33.61685
E4B,26.57337,-33.60557
E4B,26.57179,-33.56887
E4B,26.60126,-33.61957
E4B,26.56832,-33.6332
E4B,26.59963,-33.6179
E4B,26.55315,-33.61791
E4B,26.59927,-33.60782
E4B,26.59002,-33.61191
