variable,beta,mean,sd
one,-0.9285134349436202,21.950978316283305,0.18415880769082577
two,0.7982110688673437,24.5846272901083,0.1629061601064003
three,-0.12232416834181743,19.585232000010425,0.19245693747551307
four,-1.9655863959352222,613.1275420838064,12.807583742449866
five,0.3261458998418635,68.85237760005634,2.744351478669588
six,-0.2542858379150198,34.51219709083456,0.5929020484690695
seven,0.5136788174987253,24.915262986608134,1.826193328422628
eight,1.770665634612473,194.79781539690347,7.397949750938593
nine,0.8630248637878084,111.01430310280223,1.7335852698611913
ten,1.5655935094606301,181.26550639116346,6.316091787651527
eleven,-0.12140219607681073,112.17394591534992,1.136330924995087
twelve,-0.9075001847007969,9.47662422682773,0.16846437101986905
thirteen,0.3262643583506933,61.17740274698664,0.47510612377372485
fourteen,-0.7076668970543598,203.35744365095894,1.694551396309805
fifteen,444.4447531535191,29.416591557716693,0.10701571749169493
sixteen,-956.0571491066122,13.919123487382464,0.2304083134223079
seventeen,-690.9273094019454,15.497468199857973,0.16657796763708324
eighteen,0.8930644059594386,22.28720895504135,0.2192735404229725
nineteen,0.040506490110471825,19.46841528264982,0.20947451519060828
twenty,0.06242115393298594,-0.15232385231897333,0.6585133438280731
twentyone,0.08516225996553842,109.35594707234512,75.83768503333273
twentytwo,0.023201508821688106,-2.1855832427109076,1.6286167582317848
twentythree,-0.05721032167667511,43.193509377474186,18.53542208858242
twentyfour,-0.12629123967602265,16.79189885043534,9.38376181600545
twentyfive,0.039259554183359933,0.5710715304739862,0.08220151844980647
twentysix,-0.11980387047909705,8.81065631101866,4.8957820772678105
