term,coef,se,z,p,conf.low,conf.high,dataset,model
log_sl_,0.009017489066398241,0.006245880926510093,1.443749756439368,0.14880937975763409,-0.003224212601287203,0.021259190734083687,E3A,pooled
cos_ta_,0.00866239828472285,0.019774258898790146,0.4380643709106511,0.661339621230419,-0.030094436977876497,0.0474192335473222,E3A,pooled
log_sl_,0.12098241654808486,0.1149787524032404,1.052215422583375,0.29270072519158724,-0.10437179714961445,0.3463366302457842,E3B,pooled
cos_ta_,-0.9383600999201999,0.11483010001592026,-8.17172587840735,3.040086675806441e-16,-1.163422960292536,-0.713297239547864,E3B,pooled
log_sl_,0.0075062001593937866,0.00688375962294608,1.0904215967060915,0.2755274727390824,-0.0059857207798115495,0.020998121098599123,E4A,pooled
cos_ta_,0.003974771725756186,0.019527194560305453,0.20355057729777704,0.8387047180401057,-0.03429782633154895,0.042247369783061324,E4A,pooled
log_sl_,0.07203456902839363,0.09538946009313798,0.7551627712124515,0.4501513233674458,-0.1149253372588775,0.2589944753156648,E4B,pooled
cos_ta_,-1.0299095489083494,0.11431025814228064,-9.00977362527196,2.064822631991998e-19,-1.2539535379306959,-0.805865559886003,E4B,pooled
log_sl_,-0.08182939865775442,0.0525724088247041,-1.5565084516215335,0.1195872345097382,-0.18486942653469013,0.021210629219181307,E5A,pooled
cos_ta_,0.03775322684994916,0.09972988368940769,0.37855480677712783,0.7050184875448297,-0.15771375336365842,0.23322020706355676,E5A,pooled
log_sl_,0.11418133923166666,0.21716745618062464,0.5257755523769576,0.599044162681974,-0.31145905349653785,0.5398217319598712,E5B,pooled
cos_ta_,-1.8091410057411381,0.29574666468602673,-6.117198338185064,9.523480737830417e-10,-2.3887938170735943,-1.229488194408682,E5B,pooled
