logLik,AIC,n,dataset,model
-16688.18985480861,33380.37970961722,6960,E3A,pooled
-404.9549524881007,813.9099049762013,184,E3B,pooled
-17719.82311634031,35443.64623268062,7390,E4A,pooled
-419.86983085791434,843.7396617158287,194,E4B,pooled
-792.454212383324,1588.908424766648,331,E5A,pooled
-66.53757927701392,137.07515855402784,38,E5B,pooled
