variable
bio11
bio12
bio14
bio15
bio17
bio19
bio2
bio3
bio4
bio5
bio6
bio7
bio8
bio9
Cos_aspect
Elevation
EVI_2024
ForestCover
LandCover
NDVI_2024
Slope
