variable,beta,mean,sd
one,0.14155569469114476,22.059703451846207,0.12308275594358475
two,-0.3673571921838908,24.72672643258545,0.12501225859474735
three,-0.644153471844912,19.619973684610773,0.12333278245859768
four,0.6617446629310367,594.6546316534163,7.193629782199332
five,0.17853287484231856,66.10707982631563,1.3165162183441368
six,-0.09180472227841985,33.90177647401919,0.30186572581912846
seven,-0.8480578719368549,23.658486959149165,0.9934410016168099
eight,-0.42300253611043115,187.02824921377683,4.034047405198297
nine,-0.43054623535131353,109.97175577123366,1.0560184346737984
ten,-0.11290615269174627,173.6169671145317,3.160754289992947
eleven,0.32278979972167987,111.05903226670236,1.3102970628164927
twelve,0.030169476535247076,9.626571619510694,0.10093028998914717
thirteen,0.23995410455824506,60.90191109365939,0.29417410054884413
fourteen,0.16016706178755064,206.97562646586888,1.4101610145995576
fifteen,3211.69900837721,29.635073276776914,0.09961980914639189
sixteen,-4820.025250344556,13.827477057511311,0.14951350823471293
seventeen,-4510.15065867042,15.80759584835316,0.13990163212663145
eighteen,0.42068223307421027,22.492755582423236,0.15840567479010234
nineteen,0.09564640277149121,19.48180569205967,0.12963379248939635
twenty,0.03193403641378654,0.16901936383218966,0.6675925101813771
twentyone,-0.07318050368485747,56.2863786716365,48.94273264118195
twentytwo,0.029531327244660177,-2.074259512375867,1.4353318818689076
twentythree,-0.01567353901316187,41.654816260718306,20.26216521390162
twentyfour,-0.2294520262935089,15.477741655477056,9.384330294356134
twentyfive,-0.082222307640222,0.5401222235652999,0.09569402684675402
twentysix,-0.2007421627438052,8.2157110000237,5.291836650810278
