collar_id,species,timestamp,lon,lat
383737327c30820e,Loxodonta africana,13-08-2022 09:11,26.51107,-33.5828
383737327c30820e,Loxodonta africana,13-08-2022 09:41,26.50672,-33.57766
383737327c30820e,Loxodonta africana,13-08-2022 10:11,26.50815,-33.58237
383737327c30820e,Loxodonta africana,13-08-2022 10:40,26.50404,-33.5833
383737327c30820e,Loxodonta africana,13-08-2022 11:10,26.50199,-33.58337
383737327c30820e,Loxodonta africana,13-08-2022 11:40,26.50131,-33.58395
383737327c30820e,Loxodonta africana,13-08-2022 12:11,26.50402,-33.58718
383737327c30820e,Loxodonta africana,13-08-2022 12:41,26.50448,-33.58812
383737327c30820e,Loxodonta africana,13-08-2022 13:11,26.50399,-33.59035
383737327c30820e,Loxodonta africana,13-08-2022 13:41,26.50529,-33.59145
383737327c30820e,Loxodonta africana,13-08-2022 14:12,26.50557,-33.59275
383737327c30820e,Loxodonta africana,13-08-2022 14:41,26.50601,-33.59362
383737327c30820e,Loxodonta africana,13-08-2022 15:11,26.50765,-33.59743
383737327c30820e,Loxodonta africana,13-08-2022 15:42,26.51035,-33.60348
383737327c30820e,Loxodonta africana,13-08-2022 16:12,26.51047,-33.60471
383737327c30820e,Loxodonta africana,13-08-2022 16:42,26.51435,-33.60727
383737327c30820e,Loxodonta africana,13-08-2022 17:12,26.51732,-33.60912
383737327c30820e,Loxodonta africana,13-08-2022 17:42,26.5203,-33.61423
383737327c30820e,Loxodonta africana,13-08-2022 18:13,26.52072,-33.61744
383737327c30820e,Loxodonta africana,13-08-2022 18:42,26.51961,-33.61876
383737327c30820e,Loxodonta africana,13-08-2022 19:13,26.51981,-33.62011
383737327c30820e,Loxodonta africana,13-08-2022 19:43,26.51921,-33.62059
383737327c30820e,Loxodonta africana,13-08-2022 20:13,26.5192,-33.62056
383737327c30820e,Loxodonta africana,13-08-2022 20:43,26.51968,-33.62243
383737327c30820e,Loxodonta africana,13-08-2022 21:13,26.51839,-33.62159
383737327c30820e,Loxodonta africana,13-08-2022 21:43,26.51532,-33.62033
383737327c30820e,Loxodonta africana,13-08-2022 22:13,26.51283,-33.61926
383737327c30820e,Loxodonta africana,13-08-2022 22:44,26.50923,-33.61716
383737327c30820e,Loxodonta africana,13-08-2022 23:14,26.50732,-33.61677
383737327c30820e,Loxodonta africana,13-08-2022 23:43,26.50761,-33.61547
383737327c30820e,Loxodonta africana,14-08-2022 00:14,26.50779,-33.61512
383737327c30820e,Loxodonta africana,14-08-2022 00:44,26.50765,-33.615
383737327c30820e,Loxodonta africana,14-08-2022 01:14,26.50757,-33.61503
