variable,beta,mean,sd
one,-0.006712365575902375,22.064385509052304,0.13503663712227743
two,-0.25323622355890235,24.729393637474022,0.14218359556801988
three,0.17295118899793033,19.6299035493901,0.12052690559904296
four,-0.4616850677867818,596.8291287597251,9.496795641782807
five,-0.23689213892158545,66.40052364958996,1.715473067034993
six,-0.06625661261257641,33.74415280071908,0.5275262939821894
seven,-0.06336746926285973,24.08844731507583,1.1053096312729176
eight,-0.05876926041106215,188.5143338190257,4.870730366053525
nine,-0.07842919449539497,109.57942808713855,1.3496640415560952
ten,0.4927920473286593,174.75351882526522,4.053550494103282
eleven,0.24086485250697606,110.17008193413581,1.5591871138974842
twelve,-0.16947490687922853,9.571342662604508,0.11193476427955834
thirteen,-0.028601166900662847,60.87401293872946,0.39403081953821817
fourteen,0.4944977146949813,207.15167414022616,2.085831278284748
fifteen,670.6046580602202,29.62496705174913,0.14341143999332154
sixteen,-674.0185987830276,13.897476893536098,0.14408502500301432
seventeen,-691.5309666715536,15.727490149448368,0.14782484330007076
eighteen,-0.036822603782255305,22.49315588602284,0.17861066085933355
nineteen,0.03245823316466908,19.45190173445067,0.12373673131306068
twenty,0.07795497112066659,0.03613841666640089,0.6861061908157986
twentyone,-0.11911611574182107,61.76862902257163,55.18617229282574
twentytwo,0.0466228762185891,-1.946591549780324,1.2679630936311923
twentythree,0.09383775544196618,48.85064937107503,19.287347260141527
twentyfour,-0.06504623860205819,14.157200153757861,8.445496257915641
twentyfive,-0.006411809243352005,0.5578133991725864,0.09539539930064223
twentysix,-0.08601682205160488,9.192833363570607,6.1513393585216365
