cluster_id,collar_id,species,timestamp,lon,lat,geometry
1,353336355b308106,Loxodonta africana,NA,26.58092,-33.62584,NA
1,353336355b308106,Loxodonta africana,NA,26.52802,-33.59486,NA
1,353336355b308106,Loxodonta africana,NA,26.56686,-33.58662,NA
1,353336355b308106,Loxodonta africana,NA,26.59581,-33.61639,NA
1,353336355b308106,Loxodonta africana,NA,26.52271,-33.63671,NA
1,353336355b308106,Loxodonta africana,NA,26.53769,-33.63786,NA
1,353336355b308106,Loxodonta africana,NA,26.5297,-33.58396,NA
1,353336355b308106,Loxodonta africana,NA,26.53779,-33.63779,NA
1,353336355b308106,Loxodonta africana,NA,26.54749,-33.6324,NA
1,353336355b308106,Loxodonta africana,NA,26.53804,-33.63245,NA
1,353336355b308106,Loxodonta africana,NA,26.60201,-33.61439,NA
1,353336355b308106,Loxodonta africana,NA,26.60869,-33.61633,NA
1,353336355b308106,Loxodonta africana,NA,26.51072,-33.63732,NA
1,353336355b308106,Loxodonta africana,NA,26.525,-33.6403,NA
1,353336355b308106,Loxodonta africana,NA,26.55897,-33.63039,NA
1,353336355b308106,Loxodonta africana,NA,26.53866,-33.61043,NA
1,353336355b308106,Loxodonta africana,NA,26.56397,-33.62965,NA
1,353336355b308106,Loxodonta africana,NA,26.50617,-33.56389,NA
1,353336355b308106,Loxodonta africana,NA,26.51542,-33.62826,NA
1,353336355b308106,Loxodonta africana,NA,26.56568,-33.63523,NA
1,353336355b308106,Loxodonta africana,NA,26.57845,-33.57608,NA
1,353336355b308106,Loxodonta africana,NA,26.50868,-33.59751,NA
1,353336355b308106,Loxodonta africana,NA,26.59006,-33.58886,NA
1,353336355b308106,Loxodonta africana,NA,26.60269,-33.61649,NA
1,353336355b308106,Loxodonta africana,NA,26.58195,-33.5976,NA
1,353336355b308106,Loxodonta africana,NA,26.57368,-33.62257,NA
1,353336355b308106,Loxodonta africana,NA,26.60392,-33.61666,NA
1,353336355b308106,Loxodonta africana,NA,26.58034,-33.57353,NA
1,353336355b308106,Loxodonta africana,NA,26.55025,-33.64487,NA
1,353336355b308106,Loxodonta africana,NA,26.51999,-33.63438,NA
1,353336355b308106,Loxodonta africana,NA,26.56406,-33.62213,NA
1,353336355b308106,Loxodonta africana,NA,26.54596,-33.61992,NA
1,353336355b308106,Loxodonta africana,NA,26.51215,-33.60442,NA
1,353336355b308106,Loxodonta africana,NA,26.53914,-33.64089,NA
1,353336355b308106,Loxodonta africana,NA,26.57181,-33.61133,NA
1,353336355b308106,Loxodonta africana,NA,26.58574,-33.60875,NA
1,353336355b308106,Loxodonta africana,NA,26.52196,-33.63318,NA
1,353336355b308106,Loxodonta africana,NA,26.60316,-33.60572,NA
1,353336355b308106,Loxodonta africana,NA,26.57187,-33.61096,NA
1,353336355b308106,Loxodonta africana,NA,26.55355,-33.63085,NA
1,353336355b308106,Loxodonta africana,NA,26.56361,-33.62593,NA
1,353336355b308106,Loxodonta africana,NA,26.57868,-33.62331,NA
1,353336355b308106,Loxodonta africana,NA,26.56914,-33.61774,NA
1,353336355b308106,Loxodonta africana,NA,26.58294,-33.6258,NA
1,353336355b308106,Loxodonta africana,NA,26.59359,-33.57708,NA
1,353336355b308106,Loxodonta africana,NA,26.55315,-33.63119,NA
1,353336355b308106,Loxodonta africana,NA,26.56897,-33.61693,NA
1,353336355b308106,Loxodonta africana,NA,26.57218,-33.60006,NA
1,353336355b308106,Loxodonta africana,NA,26.5872,-33.60347,NA
1,353336355b308106,Loxodonta africana,NA,26.58803,-33.61751,NA
1,353336355b308106,Loxodonta africana,NA,26.57251,-33.62598,NA
1,353336355b308106,Loxodonta africana,NA,26.51636,-33.56381,NA
1,353336355b308106,Loxodonta africana,NA,26.54748,-33.6364,NA
1,353336355b308106,Loxodonta africana,NA,26.60345,-33.61282,NA
1,353336355b308106,Loxodonta africana,NA,26.55369,-33.61752,NA
1,353336355b308106,Loxodonta africana,NA,26.55775,-33.63037,NA
1,353336355b308106,Loxodonta africana,NA,26.58178,-33.61239,NA
1,353336355b308106,Loxodonta africana,NA,26.56225,-33.59094,NA
1,353336355b308106,Loxodonta africana,NA,26.57828,-33.56748,NA
1,353336355b308106,Loxodonta africana,NA,26.52477,-33.63184,NA
1,353336355b308106,Loxodonta africana,NA,26.58141,-33.61677,NA
1,353336355b308106,Loxodonta africana,NA,26.50721,-33.64066,NA
1,353336355b308106,Loxodonta africana,NA,26.59027,-33.56982,NA
1,353336355b308106,Loxodonta africana,NA,26.58796,-33.59751,NA
1,353336355b308106,Loxodonta africana,NA,26.54296,-33.62415,NA
1,353336355b308106,Loxodonta africana,NA,26.52903,-33.63434,NA
1,353336355b308106,Loxodonta africana,NA,26.56842,-33.63274,NA
1,353336355b308106,Loxodonta africana,NA,26.52874,-33.64123,NA
1,353336355b308106,Loxodonta africana,NA,26.5843,-33.59986,NA
1,353336355b308106,Loxodonta africana,NA,26.51965,-33.63617,NA
1,353336355b308106,Loxodonta africana,NA,26.55799,-33.61959,NA
1,353336355b308106,Loxodonta africana,NA,26.5725,-33.61871,NA
1,353336355b308106,Loxodonta africana,NA,26.50695,-33.6374,NA
1,353336355b308106,Loxodonta africana,NA,26.55587,-33.62943,NA
1,353336355b308106,Loxodonta africana,NA,26.56799,-33.61842,NA
1,353336355b308106,Loxodonta africana,NA,26.56999,-33.61482,NA
1,353336355b308106,Loxodonta africana,NA,26.53902,-33.63835,NA
1,353336355b308106,Loxodonta africana,NA,26.60799,-33.6044,NA
1,353336355b308106,Loxodonta africana,NA,26.50336,-33.58792,NA
1,353336355b308106,Loxodonta africana,NA,26.50393,-33.61474,NA
1,353336355b308106,Loxodonta africana,NA,26.51111,-33.63419,NA
1,353336355b308106,Loxodonta africana,NA,26.59684,-33.61908,NA
1,353336355b308106,Loxodonta africana,NA,26.57131,-33.59529,NA
1,353336355b308106,Loxodonta africana,NA,26.54095,-33.63818,NA
1,353336355b308106,Loxodonta africana,NA,26.55138,-33.61921,NA
1,353336355b308106,Loxodonta africana,NA,26.58737,-33.60567,NA
1,353336355b308106,Loxodonta africana,NA,26.56695,-33.63893,NA
1,353336355b308106,Loxodonta africana,NA,26.5409,-33.63048,NA
1,353336355b308106,Loxodonta africana,NA,26.60039,-33.62091,NA
1,353336355b308106,Loxodonta africana,NA,26.58068,-33.57876,NA
1,353336355b308106,Loxodonta africana,NA,26.51848,-33.56768,NA
1,353336355b308106,Loxodonta africana,NA,26.56491,-33.59226,NA
1,353336355b308106,Loxodonta africana,NA,26.59165,-33.60801,NA
1,353336355b308106,Loxodonta africana,NA,26.50475,-33.63106,NA
1,353336355b308106,Loxodonta africana,NA,26.60136,-33.59698,NA
1,353336355b308106,Loxodonta africana,NA,26.59367,-33.60619,NA
1,353336355b308106,Loxodonta africana,NA,26.55886,-33.6264,NA
1,353336355b308106,Loxodonta africana,NA,26.50197,-33.60792,NA
1,353336355b308106,Loxodonta africana,NA,26.57324,-33.58568,NA
1,353336355b308106,Loxodonta africana,NA,26.56393,-33.62003,NA
1,353336355b308106,Loxodonta africana,NA,26.55452,-33.62992,NA
1,353336355b308106,Loxodonta africana,NA,26.52616,-33.63227,NA
1,353336355b308106,Loxodonta africana,NA,26.50726,-33.59359,NA
1,353336355b308106,Loxodonta africana,NA,26.5907,-33.58826,NA
1,353336355b308106,Loxodonta africana,NA,26.57184,-33.61131,NA
1,353336355b308106,Loxodonta africana,NA,26.54477,-33.63548,NA
1,353336355b308106,Loxodonta africana,NA,26.57765,-33.57806,NA
1,353336355b308106,Loxodonta africana,NA,26.60207,-33.59526,NA
1,353336355b308106,Loxodonta africana,NA,26.52985,-33.61,NA
1,353336355b308106,Loxodonta africana,NA,26.55577,-33.62987,NA
1,353336355b308106,Loxodonta africana,NA,26.59944,-33.61171,NA
1,353336355b308106,Loxodonta africana,NA,26.59457,-33.60843,NA
1,353336355b308106,Loxodonta africana,NA,26.54668,-33.61976,NA
1,353336355b308106,Loxodonta africana,NA,26.58093,-33.58018,NA
1,353336355b308106,Loxodonta africana,NA,26.58927,-33.58904,NA
1,353336355b308106,Loxodonta africana,NA,26.56734,-33.63861,NA
1,353336355b308106,Loxodonta africana,NA,26.60454,-33.61698,NA
1,353336355b308106,Loxodonta africana,NA,26.53223,-33.58755,NA
1,353336355b308106,Loxodonta africana,NA,26.57229,-33.6244,NA
1,353336355b308106,Loxodonta africana,NA,26.55882,-33.62728,NA
1,353336355b308106,Loxodonta africana,NA,26.57762,-33.5675,NA
1,353336355b308106,Loxodonta africana,NA,26.56144,-33.62997,NA
1,353336355b308106,Loxodonta africana,NA,26.53842,-33.64344,NA
1,353336355b308106,Loxodonta africana,NA,26.55916,-33.63295,NA
1,353336355b308106,Loxodonta africana,NA,26.50001,-33.63871,NA
1,353336355b308106,Loxodonta africana,NA,26.60167,-33.57593,NA
1,353336355b308106,Loxodonta africana,NA,26.57696,-33.5959,NA
1,353336355b308106,Loxodonta africana,NA,26.60815,-33.61209,NA
1,353336355b308106,Loxodonta africana,NA,26.57213,-33.6132,NA
1,353336355b308106,Loxodonta africana,NA,26.51972,-33.63616,NA
1,353336355b308106,Loxodonta africana,NA,26.56832,-33.6332,NA
1,353336355b308106,Loxodonta africana,NA,26.58737,-33.60348,NA
1,353336355b308106,Loxodonta africana,NA,26.50328,-33.63604,NA
1,353336355b308106,Loxodonta africana,NA,26.58417,-33.61047,NA
1,353336355b308106,Loxodonta africana,NA,26.60471,-33.61602,NA
1,353336355b308106,Loxodonta africana,NA,26.53478,-33.64202,NA
1,353336355b308106,Loxodonta africana,NA,26.56018,-33.62292,NA
1,353336355b308106,Loxodonta africana,NA,26.59904,-33.61403,NA
