burst_,x1_,x2_,y1_,y2_,sl_,ta_,t1_,t2_,dt_,case_,step_id_,log_sl_,cos_ta_,v0,v9,v10,v11,v12,v13,v14,v15,v16,v17,v18,v1,v2,v3,v4,v5,v6,v7,v8,CosAspect,v1_1,EVI,v3_1,v4_1,NDVI,v7_1
177,26.52993,26.52887,-33.63927,-33.62628,0.013033176895908808,-1.6345231535114326,2020-06-11T22:20:30Z,2020-06-11T23:00:02Z,39.5333333333333,TRUE,3,-4.340257103602409,-0.0636837018818578,22.200000762939453,24.89694595336914,19.796945571899414,588.066650390625,65,34,22.705768585205078,183.03128051757813,110.3518295288086,170.3622589111328,111.64891052246094,9.566902160644531,60.69392395019531,207.27040100097656,29.73309898376465,13.996947288513184,15.736151695251465,22.69694709777832,19.629709243774414,1,19.765247344970703,-2.3904507160186768,24.777503967285156,10,0.4869368374347687,2.229398488998413
177,26.52993,26.52793289404035,-33.63927,-33.66616665955619,0.026970701279266412,1.3515335960814883,2020-06-11T22:20:30Z,2020-06-11T23:00:02Z,39.5333333333333,FALSE,3,-3.6130041399710557,0.21751006461869823,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
177,26.52993,26.511622676985144,-33.63927,-33.6210590138069,0.025822433930513145,-0.9279077854381814,2020-06-11T22:20:30Z,2020-06-11T23:00:02Z,39.5333333333333,FALSE,3,-3.656511632688244,0.5995098335097367,22.01386260986328,24.70203399658203,19.611831665039063,600.29864501953125,65.97740936279297,34,24.059173583984375,190.6504364013672,110.87715911865234,174.79360961914063,110.89974975585938,9.600226402282715,60.912513732910156,206.83779907226563,29.602033615112305,13.8118314743042,15.790201187133789,22.41408920288086,19.41408920288086,-0.9874224066734314,47.36957550048828,-1.45847749710083,68.26824951171875,10,0.6202217936515808,14.60934066772461
177,26.52993,26.51335106413112,-33.63927,-33.63096136890223,0.018544391746924474,-0.6097195383179486,2020-06-11T22:20:30Z,2020-06-11T23:00:02Z,39.5333333333333,FALSE,3,-3.98758786734232,0.8198086529785794,22.158464431762695,24.760753631591797,19.658464431762695,588.3377685546875,65.19622802734375,34,23.231487274169922,184.5299530029297,110,170.80783081054688,111,9.6415376663208,60.979087829589844,206.88108825683594,29.680377960205078,13.8365478515625,15.843829154968262,22.560754776000977,19.55846405029297,-0.1650865226984024,19.134660720825195,-2.2531774044036865,21.472267150878906,20,0.47326794266700745,2.2703845500946045
177,26.52993,26.514792985787945,-33.63927,-33.64511850730211,0.01622757643392105,0.223554881240275,2020-06-11T22:20:30Z,2020-06-11T23:00:02Z,39.5333333333333,FALSE,3,-4.12104323492009,0.9751155042817089,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
177,26.52993,26.516699643532135,-33.63927,-33.64649997862206,0.015076966642602215,0.35498051049032275,2020-06-11T22:20:30Z,2020-06-11T23:00:02Z,39.5333333333333,FALSE,3,-4.194587087656981,0.9376532630070575,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
177,26.52993,26.51890502802243,-33.63927,-33.63678333685722,0.01130192464546968,-0.36698387148065237,2020-06-11T22:20:30Z,2020-06-11T23:00:02Z,39.5333333333333,FALSE,3,-4.482782245159155,0.9334137818674826,22.088451385498047,24.758712768554688,19.588451385498047,589.77996826171875,65.20643615722656,34,23.307737350463867,185.25161743164063,110,171.52835083007813,111,9.711548805236816,60.84541702270508,208.30653381347656,29.679357528686523,13.69754695892334,15.981809616088867,22.558713912963867,19.48845100402832,0.48530155420303345,41.827022552490234,-2.502209186553955,60,10,0.648661732673645,11.687875747680664
177,26.52993,26.528089747314027,-33.63927,-33.6525116418093,0.013368904508367722,1.287558497322277,2020-06-11T22:20:30Z,2020-06-11T23:00:02Z,39.5333333333333,FALSE,3,-4.314823827772185,0.2794659281586634,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
177,26.52993,26.528979472468247,-33.63927,-33.63350442821461,0.005843399746819882,-1.5525510633409683,2020-06-11T22:20:30Z,2020-06-11T23:00:02Z,39.5333333333333,FALSE,3,-5.142442503096602,0.01824425119425111,22.147903442382813,24.846956253051758,19.69485855102539,588.54315185546875,65.51068878173828,34,23.1124210357666,184.04196166992188,110,171.0316619873047,111.46955871582031,9.652097702026367,60.99604797363281,207.36383056640625,29.700000762939453,13.893829345703125,15.806170463562012,22.595888137817383,19.594858169555664,0.9185570478439331,6.524657726287842,-3.978632688522339,22.674943923950195,30,0.544047474861145,4.2008585929870605
177,26.52993,26.519958874160583,-33.63927,-33.65084926544784,0.01528079640649905,0.7147347484556259,2020-06-11T22:20:30Z,2020-06-11T23:00:02Z,39.5333333333333,FALSE,3,-4.181158375757828,0.755267118178242,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
