variable,beta,mean,sd
one,0.08741666359293962,22.0773678058788,0.11086605322231174
two,-0.1354594982276564,24.74284415873221,0.11402948396140974
three,-0.5635563808783036,19.6375596350826,0.11313419944731949
four,-0.08921001179651153,593.7458450633708,5.729361885775788
five,0.23581816259533503,65.92601114629346,1.0716513781512116
six,-0.11928866019082399,33.892272119350885,0.3085684607044874
seven,-1.3752993132176432,23.557716917365546,0.8903808268369414
eight,0.26103161395310426,186.56191042019267,3.352348667402482
nine,-0.47893151485509294,109.9844153417826,1.0997520354752532
ten,0.3499227803846393,173.20776106029908,2.5364568530530107
eleven,0.3947650290196393,111.01446449065547,1.3367678393602067
twelve,0.05502770640196644,9.616738297391576,0.09611521127386798
thirteen,0.19254544388272288,60.86733743099213,0.2779445098163282
fourteen,0.16470104564064986,206.96989062894193,1.3874001265670928
fifteen,967.1940412022742,29.64705773179174,0.08681119142220142
sixteen,-1574.4228434644392,13.847816866051534,0.14133536171782238
seventeen,-1407.0043450324501,15.79924051948498,0.12629755130712947
eighteen,0.2649477243543729,22.512726804538236,0.14535578066568242
nineteen,0.10551480400982167,19.495017726720935,0.1195078952192781
twenty,0.0876283797787535,0.18041637679717137,0.6729217455152559
twentyone,0.04449381725295424,51.75903130485931,43.66446713598323
twentytwo,0.05159764855735566,-2.0404347569530605,1.3935713042429547
twentythree,0.12243744788500915,42.43269299365779,20.176561991348795
twentyfour,-0.20931462123676414,15.50584028877253,9.557954758004726
twentyfive,-0.15054257013337669,0.5403928453982999,0.09677363419811769
twentysix,-0.255742510882657,8.002668907903137,5.311155230667726
